chunk_id,partial_order,chunk_size,resolution_size
811627,True,10,9
811634,True,9,8
811578,manual,5,9
811579,True,5,3
810386,True,3,2
811656,manual,12,22
811663,manual,325,213
810391,True,5,2
811594,True,2,1
811596,manual,3,8
810399,manual,1,8
810403,True,3,2
811619,True,15,7
810414,True,5,2
810422,True,5,2
810435,True,3,2
810450,True,5,2
811980,True,2,1
811736,True,8,4
811737,True,7,5
811759,manual,16,28
811764,manual,67,19
811903,True,5,2
811926,True,5,4
811947,manual,6,9
811967,True,8,7
811974,True,4,2
811990,True,3,2
811993,True,4,2
812012,True,2,1
812019,True,17,9
812111,manual,355,139
812144,manual,319,201
812242,manual,380,199
812262,manual,26,22
812264,manual,46,53
812358,manual,1040,536
810467,True,3,2
810472,True,3,2
810478,True,3,2
810480,True,3,2
812605,manual,188,89
810485,True,3,3
810489,True,3,2
810499,True,3,2
810507,True,3,2
810510,True,3,2
810525,True,3,2
810532,manual,2,8
812606,True,10,4
810753,True,5,3
810756,True,4,2
812625,True,4,3
812626,False,36,34
812658,True,6,4
812659,True,6,3
812682,True,6,2
812688,True,15,1
812702,manual,21,25
813020,True,15,15
813665,manual,45,14
813845,manual,136,120
813951,manual,21,13
814133,manual,93,97
814151,manual,11,10
814638,True,3,2
814712,True,7,2
814784,True,12,7
814812,True,7,7
814814,manual,2,13
814900,True,8,7
815084,True,20,17
815897,manual,28,26
815148,True,4,2
815150,True,4,2
815265,True,3,1
816218,manual,14,14
816219,True,3,2
816221,True,10,9
816222,True,13,10
816223,True,17,9
816233,True,4,3
816234,True,4,3
816236,True,4,3
816242,True,7,6
816248,manual,15,15
816249,True,5,3
816250,True,4,3
816251,True,5,3
816252,manual,2,7
816256,True,16,10
816257,True,24,4
816261,True,6,5
816262,True,6,5
816270,manual,24,21
816271,True,11,7
816281,True,21,13
816284,True,24,14
816328,True,57,32
816343,True,5,4
813421,True,13,9
816420,True,6,2
816428,True,8,7
816431,manual,25,18
816436,manual,8,7
818111,True,43,39
818130,True,4,3
818136,True,4,3
818137,True,4,3
818138,True,4,3
818162,True,5,4
818165,manual,7,8
818166,True,25,21
818168,manual,1812,1735
818255,manual,314,314
818261,manual,257,258
818282,True,2,1
817848,True,3,1
818310,manual,17,20
818315,False,29,14
818341,manual,7,8
819024,True,3,2
819027,True,3,2
819028,True,5,3
818985,True,4,2
818822,True,5,2
818872,True,7,2
818925,manual,6,9
818927,True,5,3
818942,True,10,5
818953,True,10,5
819036,manual,357,180
819070,True,23,16
818986,manual,43,47
819076,manual,327,162
818987,True,4,1
819145,manual,302,150
819179,True,4,1
819181,True,7,4
819183,True,14,11
819186,True,18,5
819190,manual,14,14
819195,True,7,4
819196,True,7,4
819199,manual,34,19
818995,True,11,4
819242,manual,14,18
819260,manual,5,9
819272,manual,6,9
819274,True,14,11
819281,True,355,195
819291,manual,743,392
819375,manual,6,9
819378,manual,2,13
819394,True,4,2
819399,True,2,1
819401,manual,12,13
819404,True,14,12
819407,True,14,12
819411,manual,268,147
819508,manual,164,94
819529,manual,12,18
819543,True,15,12
819614,manual,25,18
819623,True,27,1
819561,True,3,2
819003,True,17,5
819005,True,10,2
819744,manual,244,127
819745,manual,788,383
819746,manual,839,452
819023,manual,341,172
820835,manual,1051,555
820934,manual,1254,645
819762,manual,27,15
819771,manual,5,9
819774,manual,1400,709
819904,manual,102,48
819913,True,3,2
819914,True,15,12
819919,manual,1352,688
820070,manual,1323,667
820193,manual,160,83
820208,manual,825,418
820376,manual,1322,666
820505,manual,831,418
820592,manual,1293,650
820719,manual,1,11
820724,manual,1290,645
820983,True,2,1
820998,manual,16,15
821007,True,7,3
821008,True,3,2
821010,True,14,3
821011,True,7,2
821012,True,4,2
821014,True,7,6
821017,True,8,4
821018,True,8,4
821027,True,4,2
821029,manual,16,10
821031,True,4,2
821033,manual,8,8
821035,manual,14,17
821039,True,4,2
821041,manual,14,17
821042,True,3,2
821044,True,4,2
821046,manual,14,17
821053,True,4,2
821055,manual,14,9
821111,manual,415,209
821145,manual,631,307
821190,manual,413,213
821270,True,4,1
821271,True,4,1
821330,manual,307,149
821357,manual,468,191
821398,manual,103,55
821403,manual,132,70
821481,manual,350,175
821507,manual,7,8
821509,True,17,6
821579,True,257,126
821592,True,5,3
821598,True,11,8
821599,True,4,3
821602,True,5,4
821614,True,6,3
821615,True,6,3
821689,True,4,3
821690,True,4,2
821680,True,6,1
821647,manual,267,135
821663,True,5,3
821664,manual,264,134
821685,True,15,13
821668,True,4,3
821708,True,3,2
821709,True,8,4
821714,manual,317,162
821687,True,16,15
821729,manual,124,64
821688,True,4,2
821731,True,6,2
821740,manual,18,17
821741,manual,24,19
821744,True,6,5
821752,True,3,2
821756,False,845,430
821779,True,6,3
821780,True,3,2
821784,True,8,4
821786,True,4,2
821789,True,3,2
821790,False,1047,550
821825,manual,1009,493
821851,manual,831,418
821873,manual,832,417
821894,True,5,3
821895,True,3,2
821896,True,3,2
821899,True,3,2
821907,True,3,1
821910,True,6,3
821915,manual,319,160
821979,True,5,3
821983,True,3,2
822014,True,6,3
822034,True,7,2
822037,manual,511,254
822074,True,13,8
822078,manual,250,135
822086,False,838,428
822109,manual,769,418
822665,True,5,1
822672,True,3,2
822159,manual,26,18
822163,True,45,11
822174,manual,13,12
822190,True,11,1
822222,True,7,4
822223,True,3,2
822224,True,10,5
822256,manual,516,258
822604,True,3,1
822664,True,2,1
822669,True,3,2
822605,True,4,1
822289,manual,527,261
822303,True,10,1
822694,manual,18,11
822311,manual,516,258
822376,True,4,2
822386,manual,512,258
822440,True,16,4
822702,True,7,4
822713,manual,267,135
822748,True,6,1
822451,True,3,1
822452,manual,9,8
822492,True,5,3
822499,True,3,1
822508,True,4,2
822518,True,8,4
822546,manual,21,13
822554,True,19,11
822573,manual,4,8
822588,manual,565,290
822592,True,4,2
822593,True,5,4
