chunk_id,has_duplication,chunk_size,resolution_size
806348,False,91,82
806424,False,11,2
806499,False,14,7
806503,False,14,7
806543,False,9,2
806823,False,26,14
806843,False,11,3
806847,False,19,7
806895,False,32,10
806920,False,16,5
806924,False,15,2
806936,False,25,2
806950,False,17,7
807024,False,18,4
806955,False,33,16
807148,False,30,20
807195,False,116,21
807320,False,26,11
806916,False,40,33
807035,False,11,4
807111,False,14,4
807120,False,56,28
807125,False,54,27
807133,False,33,15
807146,False,21,12
807199,False,12,5
807200,False,22,9
807222,False,11,3
807225,False,21,3
807235,False,39,13
807238,False,12,3
807292,False,11,3
807294,False,14,6
807297,False,18,9
807564,False,17,7
807612,False,10,3
807616,False,17,5
807620,False,10,2
807632,False,12,5
807637,False,11,3
807656,False,12,5
807660,False,17,9
808589,False,11,2
808590,False,10,2
807676,False,35,13
807680,False,10,3
807683,False,12,4
807690,False,15,7
807696,False,42,16
807705,False,2071,1167
807906,False,17,7
807976,False,18,12
807991,False,10,3
807993,False,11,3
807997,False,11,3
808000,False,10,5
808003,False,10,3
808006,False,11,3
808008,False,26,14
808014,False,10,3
808043,False,11,4
808046,False,10,3
808053,False,13,6
808068,False,10,6
808081,False,15,6
808086,False,11,6
808110,False,149,7
808141,False,10,3
808144,False,9,3
808149,False,11,6
808163,False,16,3
808667,False,22,11
808747,False,31,18
808786,False,19,7
809354,False,16,3
806002,False,20,12
810326,False,21,9
810310,False,75,39
810316,False,24,13
811450,False,15,2
811451,False,41,18
811454,False,40,10
811457,False,16,4
810328,False,21,9
810360,False,25,10
811560,False,18,5
811563,False,32,3
810363,False,25,15
810367,False,31,13
810371,False,31,13
810376,False,10,3
811622,False,23,13
811623,False,29,13
811625,False,19,11
811627,False,17,10
811634,False,16,9
811578,False,12,4
811579,False,12,4
810386,False,10,3
811656,False,51,17
811663,False,331,208
810391,False,12,3
811594,False,9,2
811596,False,22,3
810399,False,22,3
810403,False,10,3
811619,False,20,8
810414,False,12,3
810422,False,12,3
810435,False,10,3
810450,False,12,3
811980,False,9,2
811736,False,15,5
811737,False,14,6
811759,False,77,24
811764,False,74,15
811903,False,12,3
811926,False,12,5
811947,False,13,7
811967,False,15,8
811974,False,11,3
811990,False,10,3
811993,False,11,3
812012,False,9,2
812019,False,24,10
812111,False,366,134
812144,False,391,196
812242,False,387,194
812262,False,36,18
812264,False,57,48
812358,False,1046,531
810467,False,10,3
810472,False,10,3
810478,False,10,3
810480,False,10,3
812605,False,196,84
810485,False,10,4
810489,False,10,3
810499,False,10,3
810507,False,10,3
810510,False,10,3
810525,False,10,3
810532,False,10,3
812606,False,17,5
810753,False,12,4
810756,False,11,3
812625,False,11,4
812626,False,43,35
812658,False,13,5
812659,False,13,4
812682,False,13,3
812688,False,22,2
812702,False,27,21
813020,False,22,16
813665,False,52,9
813845,False,144,115
813951,False,29,10
814133,False,98,93
814151,False,16,5
814638,False,10,3
814712,False,14,3
814784,False,19,8
814812,False,14,8
814814,False,15,8
814900,False,15,8
815084,False,27,18
815897,False,39,21
815148,False,11,3
815150,False,11,3
815265,False,10,2
816218,False,22,9
816219,False,10,3
816221,False,17,10
816222,False,20,11
816223,False,24,10
816233,False,11,4
816234,False,11,4
816236,False,11,4
816242,False,14,7
816248,False,22,10
816249,False,12,4
816250,False,11,4
816251,False,12,4
816252,False,20,2
816256,False,23,11
816257,False,31,5
816261,False,13,6
816262,False,13,6
816270,False,32,16
816271,False,18,8
816281,False,28,14
816284,False,31,15
816328,False,64,33
816343,False,12,5
813421,False,20,10
816420,False,13,3
816428,False,15,8
816431,False,35,13
816436,False,13,3
818111,False,50,40
818130,False,11,4
818136,False,11,4
818137,False,11,4
818138,False,11,4
818162,False,12,5
818165,False,14,3
818166,False,32,22
818168,False,1822,1730
818255,False,319,312
818261,False,263,254
818282,False,9,2
817848,False,10,2
818310,False,35,15
818315,False,36,15
818341,False,16,3
819024,False,10,3
819027,False,10,3
819028,False,12,4
818985,False,11,3
818822,False,12,3
818872,False,14,3
818925,False,11,8
818927,False,12,4
818942,False,17,6
818953,False,17,6
819036,False,363,178
819070,False,30,17
818986,False,54,42
819076,False,331,160
818987,False,11,2
819145,False,308,149
819179,False,11,2
